,text,upos,xpos,lemma,feats
125,quest’,DET,DD,questo,Number=Sing|PronType=Dem
126,ultima,ADJ,A,ultimo,Gender=Fem|NumType=Ord|Number=Sing
127,custodita,VERB,V,custodire,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part
128,fino,ADV,B,fino,
129,a,ADP,E,a,
130,poco,DET,DI,poco,Gender=Masc|Number=Sing|PronType=Ind
131,tempo,NOUN,S,tempo,Gender=Masc|Number=Sing
132,fa,ADV,B,fa,
133,in,ADP,E,in,
134,i,DET,RD,il,Definite=Def|Gender=Masc|Number=Plur|PronType=Art
135,depositi,NOUN,S,deposito,Gender=Masc|Number=Plur
136,di,ADP,E,di,
137,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
138,Museo,NOUN,S,museo,Gender=Masc|Number=Sing
139,archeologico,ADJ,A,archeologico,Gender=Masc|Number=Sing
140,nazionale,ADJ,A,nazionale,Number=Sing
141,G.A.,PROPN,SP,G.A.,
142,Sanna,PROPN,SP,Sanna,
143,",",PUNCT,FF,",",
144,oltre,ADV,B,oltre,
145,ad,ADP,E,a,
146,un,DET,RI,uno,Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
147,certo,ADJ,A,certo,Gender=Masc|Number=Sing
148,numero,NOUN,S,numero,Gender=Masc|Number=Sing
149,di,ADP,E,di,
150,opere,NOUN,S,opera,Gender=Fem|Number=Plur
151,di,ADP,E,di,
152,varia,ADJ,A,vario,Gender=Fem|Number=Sing
153,provenienza,NOUN,S,provenienza,Gender=Fem|Number=Sing
154,",",PUNCT,FF,",",
155,tra,ADP,E,tra,
156,le,DET,RD,il,Definite=Def|Gender=Fem|Number=Plur|PronType=Art
157,quali,PRON,PR,quale,Number=Plur|PronType=Rel
158,le,DET,RD,il,Definite=Def|Gender=Fem|Number=Plur|PronType=Art
159,dieci,NUM,N,dieci,NumType=Card
160,d’,ADP,E,di,
161,arte,NOUN,S,arte,Gender=Fem|Number=Sing
162,contemporanea,ADJ,A,contemporaneo,Gender=Fem|Number=Sing
163,acquisite,VERB,V,acquisire,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part
164,con,ADP,E,con,
165,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
166,donazione,NOUN,S,donazione,Gender=Fem|Number=Sing
167,Panicali,PROPN,SP,Panicali,
168,Battaglia,NOUN,S,battaglia,Gender=Fem|Number=Sing
169,.,PUNCT,FS,.,
170,Il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
171,suo,DET,AP,suo,Gender=Masc|Number=Sing|Poss=Yes|PronType=Prs
172,patrimonio,NOUN,S,patrimonio,Gender=Masc|Number=Sing
173,artistico,ADJ,A,artistico,Gender=Masc|Number=Sing
174,",",PUNCT,FF,",",
175,costituito,VERB,V,costituire,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
176,da,ADP,E,da,
177,oltre,ADV,B,oltre,
178,490,NUM,N,490,NumType=Card
179,dipinti,NOUN,S,dipinto,Gender=Masc|Number=Plur
180,",",PUNCT,FF,",",
181,sculture,NOUN,S,scultura,Gender=Fem|Number=Plur
182,e,CCONJ,CC,e,
183,manufatti,NOUN,S,manufatto,Gender=Masc|Number=Plur
184,compresi,VERB,V,comprendere,Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part
185,in,ADP,E,in,
186,un,DET,RI,uno,Definite=Ind|Gender=Masc|Number=Sing|PronType=Art
187,arco,NOUN,S,arco,Gender=Masc|Number=Sing
188,temporale,ADJ,A,temporale,Number=Sing
189,che,PRON,PR,che,PronType=Rel
190,va,VERB,V,andare,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
191,da,ADP,E,da,
192,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
193,Medioevo,NOUN,S,medioevo,Gender=Masc|Number=Sing
194,a,ADP,E,a,
195,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
196,metà,NOUN,S,metà,Gender=Fem
197,di,ADP,E,di,
198,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
199,Novecento,NUM,N,novecento,NumType=Card
200,",",PUNCT,FF,",",
201,documenta,VERB,V,documentare,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
202,diverse,DET,DI,diverso,Gender=Fem|Number=Plur|PronType=Ind
203,scuole,NOUN,S,scuola,Gender=Fem|Number=Plur
204,e,CCONJ,CC,e,
205,artisti,NOUN,S,artista,Gender=Masc|Number=Plur
206,locali,ADJ,A,locale,Number=Plur
207,",",PUNCT,FF,",",
208,italiani,ADJ,A,italiano,Gender=Masc|Number=Plur
209,ed,CCONJ,CC,e,
210,europei,ADJ,A,europeo,Gender=Masc|Number=Plur
211,a,ADP,E,a,
212,partire,VERB,V,partire,VerbForm=Inf
213,da,ADP,E,da,
214,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
215,fine,NOUN,S,fine,Gender=Fem|Number=Sing
216,di,ADP,E,di,
217,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
218,XIV,ADJ,NO,XIV,NumType=Ord|Number=Sing
219,secolo,NOUN,S,secolo,Gender=Masc|Number=Sing
220,.,PUNCT,FS,.,
221,Tra,ADP,E,tra,
222,le,DET,RD,il,Definite=Def|Gender=Fem|Number=Plur|PronType=Art
223,opere,NOUN,S,opera,Gender=Fem|Number=Plur
224,principali,ADJ,A,principale,Number=Plur
225,",",PUNCT,FF,",",
226,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
227,trittico,NOUN,S,trittico,Gender=Masc|Number=Sing
228,attribuito,VERB,V,attribuire,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
229,a,ADP,E,a,
230,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
231,fiorentino,NOUN,S,fiorentino,Gender=Masc|Number=Sing
232,Mariotto,PROPN,SP,Mariotto,
233,di,ADP,E,di,
234,Nardo,PROPN,SP,Nardo,
235,(,PUNCT,FB,(,
236,notizie,NOUN,S,notizia,Gender=Fem|Number=Plur
237,1394,NUM,N,1394,NumType=Card
238,-,PUNCT,FF,-,
239,1424,NUM,N,1424,NumType=Card
240,),PUNCT,FB,),
241,",",PUNCT,FF,",",
242,le,DET,RD,il,Definite=Def|Gender=Fem|Number=Plur|PronType=Art
243,tavole,NOUN,S,tavola,Gender=Fem|Number=Plur
244,di,ADP,E,di,
245,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
246,cosiddetto,ADJ,A,cosiddetto,Gender=Masc|Number=Sing
247,Maestro,NOUN,S,maestro,Gender=Masc|Number=Sing
248,di,ADP,E,di,
249,Ozieri,PROPN,SP,Ozieri,
250,(,PUNCT,FB,(,
251,metà,NOUN,S,metà,Gender=Fem
252,XVI,ADJ,NO,XVI,NumType=Ord|Number=Sing
253,secolo,NOUN,S,secolo,Gender=Masc|Number=Sing
254,),PUNCT,FB,),
255,",",PUNCT,FF,",",
256,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
257,Maddalena,PROPN,SP,Maddalena,
258,di,ADP,E,di,
259,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
260,napoletano,ADJ,A,napoletano,Gender=Masc|Number=Sing
261,Andrea,PROPN,SP,Andrea,
262,Vaccaro,PROPN,SP,Vaccaro,
263,(,PUNCT,FB,(,
264,1604,NUM,N,1604,NumType=Card
265,-,PUNCT,FF,-,
266,1670,NUM,N,1670,NumType=Card
267,),PUNCT,FB,),
268,.,PUNCT,FS,.,
269,Le,DET,RD,il,Definite=Def|Gender=Fem|Number=Plur|PronType=Art
270,opere,NOUN,S,opera,Gender=Fem|Number=Plur
271,più,ADV,B,più,
272,significative,ADJ,A,significativo,Gender=Fem|Number=Plur
273,sono,AUX,V,essere,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
274,tuttavia,ADV,B,tuttavia,
275,quelle,PRON,PD,quello,Gender=Fem|Number=Plur|PronType=Dem
276,di,ADP,E,di,
277,gli,DET,RD,il,Definite=Def|Gender=Masc|Number=Plur|PronType=Art
278,artisti,NOUN,S,artista,Gender=Masc|Number=Plur
279,sardi,ADJ,A,sardo,Gender=Masc|Number=Plur
280,di,ADP,E,di,
281,l’,DET,RD,il,Definite=Def|Number=Sing|PronType=Art
282,Ottocento,NOUN,S,ottocento,Gender=Masc|Number=Sing
283,e,CCONJ,CC,e,
284,primo,ADJ,NO,primo,Gender=Masc|NumType=Ord|Number=Sing
285,Novecento,NOUN,S,novecento,Gender=Masc|Number=Sing
286,(,PUNCT,FB,(,
287,Giovanni,PROPN,SP,Giovanni,
288,Marghinotti,PROPN,SP,Marghinotti,
289,",",PUNCT,FF,",",
290,di,ADP,E,di,
291,il,DET,RD,il,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
292,quale,PRON,PR,quale,Number=Sing|PronType=Rel
293,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
294,Pinacoteca,PROPN,SP,pinacoteca,
295,possiede,VERB,V,possedere,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
296,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
297,collezione,NOUN,S,collezione,Gender=Fem|Number=Sing
298,più,ADV,B,più,
299,ampia,ADJ,A,ampio,Gender=Fem|Number=Sing
300,in,ADP,E,in,
301,Sardegna,PROPN,SP,Sardegna,
302,",",PUNCT,FF,",",
303,Antonio,PROPN,SP,Antonio,
304,Ballero,PROPN,SP,Ballero,
305,",",PUNCT,FF,",",
306,Filippo,PROPN,SP,Filippo,
307,Figari,PROPN,SP,Figari,
308,",",PUNCT,FF,",",
309,Giuseppe,PROPN,SP,Giuseppe,
310,Biasi,PROPN,SP,Biasi,
311,",",PUNCT,FF,",",
312,Carmelo,PROPN,SP,Carmelo,
313,Floris,PROPN,SP,Floris,
314,",",PUNCT,FF,",",
315,Pietro,PROPN,SP,Pietro,
316,Antonio,PROPN,SP,Antonio,
317,Manca,PROPN,SP,mancare,
318,",",PUNCT,FF,",",
319,Mario,PROPN,SP,Mario,
320,Delitala,PROPN,SP,Delitala,
321,",",PUNCT,FF,",",
322,Stanis,PROPN,SP,Stanis,
323,Dessy,PROPN,SP,Dessy,
324,",",PUNCT,FF,",",
325,Eugenio,PROPN,SP,Eugenio,
326,Tavolara,PROPN,SP,Tavolara,
327,),PUNCT,FB,),
328,",",PUNCT,FF,",",
329,e,CCONJ,CC,e,
330,la,DET,RD,il,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
331,raccolta,NOUN,S,raccolta,Gender=Fem|Number=Sing
332,di,ADP,E,di,
333,opere,NOUN,S,opera,Gender=Fem|Number=Plur
334,grafiche,ADJ,A,grafico,Gender=Fem|Number=Plur
335,di,ADP,E,di,
336,Giuseppe,PROPN,SP,Giuseppe,
337,Biasi,PROPN,SP,Biasi,
338,e,CCONJ,CC,e,
339,Stanis,PROPN,SP,Stanis,
340,Dessy,PROPN,SP,Dessy,
341,.,PUNCT,FS,.,
